claim_id	passenger_id	flight_id	flight_number	claim_date	issue_type	bag_description	bag_weight_kg	declared_value_eur	status	resolution_days	compensation_paid_eur	handling_agent
CLM00079	PAX00018199	FL0006101	LH9490	2023-06-24	Damaged	Grey Tumi backpack	18.6	179.79	Resolved	29	537.81	Lufthansa LEOS
CLM00080	PAX00002475	FL0005857	LH5342	2023-04-12	Delayed	Black Rimowa suitcase	21.4	1852.92	Pending	26	0	Lufthansa LEOS
CLM00081	PAX00009634	FL0000394	LH5553	2022-03-04	Delayed	Brown leather bag	21.7	465.32	Pending	17	0	Swissport
CLM00082	PAX00019767	FL0002589	LH6691	2022-07-06	Delayed	Red duffel bag	11.4	348.63	Pending	9	0	Swissport
CLM00083	PAX00009823	FL0011020	LH3359	2024-09-20	Delayed	Grey Tumi backpack	14.2	2033.01	Pending	40	0	Fraport Ground Services
CLM00084	PAX00009313	FL0002090	LH5023	2022-06-01	Lost	Red duffel bag	29.1	997.26	Pending	9	0	Fraport Ground Services
CLM00085	PAX00013845	FL0011084	LH8259	2024-09-07	Delayed	Red duffel bag	11.8	639.66	In Progress	40	0	Lufthansa LEOS
CLM00086	PAX00033307	FL0002035	LH8918	2022-07-10	Lost	Brown leather bag	17.5	2036.57	Resolved	33	1258.91	Swissport
CLM00087	PAX00028547	FL0005774	LH8140	2023-02-16	Delayed	Blue Samsonite carry-on	19.3	2354.62	Resolved	5	0	Fraport Ground Services
CLM00088	PAX00042458	FL0001175	LH7139	2022-05-11	Delayed	Green hardcase	10.4	1100.26	Pending	39	0	Fraport Ground Services
CLM00089	PAX00004354	FL0008712	LH3973	2023-11-01	Delayed	Grey Tumi backpack	28.8	1865.99	In Progress	42	0	Swissport
CLM00090	PAX00006408	FL0000774	LH9525	2021-11-16	Damaged	Brown leather bag	21.5	1165.53	In Progress	45	0	Fraport Ground Services
CLM00091	PAX00001195	FL0009627	LH883	2024-05-21	Delayed	Green hardcase	13.1	1929.69	Pending	12	0	Fraport Ground Services
CLM00092	PAX00036675	FL0004150	LH3265	2022-11-19	Damaged	Brown leather bag	28.4	268.4	Denied	9	1157.53	Swissport
CLM00093	PAX00016832	FL0002115	LH9399	2022-08-08	Damaged	Blue Samsonite carry-on	9.5	161.05	Pending	13	750.64	Swissport
CLM00094	PAX00004312	FL0009084	LH5370	2024-04-02	Lost	Black Rimowa suitcase	15.0	1474.64	Pending	42	0	Lufthansa LEOS
CLM00095	PAX00034558	FL0007344	LH7274	2023-07-24	Delayed	Grey Tumi backpack	21.0	630.31	Resolved	27	0	Swissport
CLM00096	PAX00008139	FL0006715	LH2522	2023-10-15	Delayed	Green hardcase	11.6	1250.7	Resolved	20	0	Lufthansa LEOS
CLM00097	PAX00033152	FL0008096	LH9710	2024-02-12	Lost	Red duffel bag	8.7	2080.06	In Progress		0	Lufthansa LEOS
CLM00098	PAX00010185	FL0002259	LH9065	2022-03-14	Delayed	Blue Samsonite carry-on	22.4	1180.54	In Progress	38	0	Lufthansa LEOS
CLM00099	PAX00033010	FL0007924	LH3792	2023-10-05	Delayed	Blue Samsonite carry-on	30.0	191.33	Resolved	41	0	Swissport
CLM00100	PAX00019633	FL0003843	LH4801	2023-01-26	Damaged	Grey Tumi backpack	27.7	1846.53	In Progress	30	150.94	Lufthansa LEOS
CLM00101	PAX00038175	FL0001116	LH3711	2021-12-19	Pilfered	Blue Samsonite carry-on	16.9	1551.46	Resolved	17	0	Swissport
CLM00102	PAX00019543	FL0010181	LH6020	2024-06-03	Delayed	Black Rimowa suitcase	22.4	342.21	Pending	39	0	Lufthansa LEOS
CLM00103	PAX00026425	FL0010407	LH8285	2024-07-25	Delayed	Black Rimowa suitcase	26.5	EUR 1555.8	Resolved	29	0	Swissport
CLM00104	PAX00040025	FL0011189	LH7236	2024-10-06	Delayed	Red duffel bag	9.3	626.47	In Progress		0	Lufthansa LEOS
CLM00105	PAX00017861	FL0008865	LH7200	2023-12-04	Delayed	Green hardcase	12.6	2476.59	Resolved	45	0	Lufthansa LEOS
CLM00106	PAX00025063	FL0010328	LH1279	2024-05-03	Delayed	Brown leather bag	30.7	265.68	Pending	6	0	Lufthansa LEOS
CLM00107	PAX00000375	FL0007484	LH3520	2023-09-16	Lost	Black Rimowa suitcase	15.6	156.88	Resolved	38	0	Lufthansa LEOS
CLM00108	PAX00012985	FL0010645	LH1521	2024-07-14	Delayed	Black Rimowa suitcase	13.1	1537.83	Resolved	15	0	Fraport Ground Services
CLM00109	PAX00039190	FL0007005	LH9159	2023-07-01	Damaged	Grey Tumi backpack	22.1	976.13	In Progress		457.67	Fraport Ground Services
CLM00110	PAX00023486	FL0001141	LH6858	2021-12-21	Delayed	Grey Tumi backpack	15.1	405.65	Resolved	13	0	Swissport
CLM00111	PAX00034541	FL0011150	LH2697	2024-07-25	Delayed	Grey Tumi backpack	17.5	EUR 2024.91	Resolved	3	0	Lufthansa LEOS
CLM00112	PAX00018523	FL0008006	LH9811	2023-10-14	Delayed	Red duffel bag	19.9	2071.14	Pending	15	0	Swissport
CLM00113	PAX00014763	FL0007029	LH655	2023-10-16	Delayed	Green hardcase	21.5	1097.41	Resolved	9	0	Lufthansa LEOS
CLM00114	PAX00013016	FL0012161	LH9995	2024-07-24	Damaged	Green hardcase	15.9	870.21	Resolved	16	0	Lufthansa LEOS
CLM00115	PAX00011490	FL0010267	LH4355	2024-06-17	Delayed	Blue Samsonite carry-on	26.8	486.18	Resolved	23	0	Fraport Ground Services
CLM00116	PAX00001064	FL0008634	LH1834	2023-11-01	Damaged	Blue Samsonite carry-on	31.0	1729.49	Denied	45	0	Swissport
CLM00117	PAX00019471	FL0009923	LH6820	2024-02-06	Damaged	Brown leather bag	13.1	1342.35	Resolved	44	1232.68	Lufthansa LEOS
CLM00118	PAX00027704	FL0010043	LH199	2024-08-11	Delayed	Blue Samsonite carry-on	25.8	EUR 1147.54	In Progress	31	0	Fraport Ground Services
CLM00119	PAX00034537	FL0004871	LH9549	2022-12-24	Delayed	Blue Samsonite carry-on	27.1	672.78	In Progress	32	0	Fraport Ground Services
CLM00120	PAX00017185	FL0011630	LH7789	28-07-2024	Lost	Red duffel bag	22.7	1865.56	Resolved	40	0	Swissport
CLM00121	PAX00030206	FL0008136	LH6070	2024-01-02	Delayed	Black Rimowa suitcase	16.9	1321.61	In Progress	17	0	Swissport
CLM00122	PAX00012722	FL0012147	LH1531	2024-11-24	Damaged	Grey Tumi backpack	21.0	1533.72	Resolved	30	814.39	Lufthansa LEOS
CLM00123	PAX00031159	FL0000960	LH547	2022-03-03	Delayed	Red duffel bag	14.4	1759.92	Resolved	21	0	Fraport Ground Services
CLM00124	PAX00001211	FL0009903	LH4773	2024-01-26	Delayed	Grey Tumi backpack	13.9	248.35	Resolved	22	0	Lufthansa LEOS
CLM00125	PAX00037122	FL0006819	LH4768	2023-05-30	Delayed	Grey Tumi backpack	24.9	1261.42	Resolved	26	0	Lufthansa LEOS
CLM00126	PAX00032061	FL0011628	LH8202	2024-08-12	Delayed	Red duffel bag	11.0	2208.27	Pending		0	Swissport
CLM00127	PAX00039137	FL0011278	LH6020	2024-08-25	Delayed	Green hardcase	24.9	1333.65	Pending		0	Fraport Ground Services
CLM00128	PAX00017107	FL0002568	LH7043	2022-07-10	Delayed	Black Rimowa suitcase	28.3	1464.48	In Progress		0	Lufthansa LEOS
CLM00129	PAX00041722	FL0007878	LH1988	2023-12-17	Delayed	Brown leather bag	27.1	446.25	Pending	3	0	Fraport Ground Services
CLM00130	PAX00013387	FL0003408	LH9031	2022-09-12	Delayed	Green hardcase	29.3	1913.01	Resolved	12	0	Lufthansa LEOS
CLM00131	PAX00003314	FL0010027	LH9558	2024-07-25	Damaged	Brown leather bag	8.8	2000.33	Resolved	7	658.95	Lufthansa LEOS
CLM00132	PAX00017809	FL0003159	LH4623	2022-11-18	Delayed	Blue Samsonite carry-on	18.4	293.31	Pending	17	0	Lufthansa LEOS
CLM00133	PAX00029285	FL0009042	LH366	2023-12-10	Damaged	Blue Samsonite carry-on	22.7	482.25	In Progress	20	0	Swissport
CLM00134	PAX00011216	FL0003026	LH1144	2022-06-14	Damaged	Blue Samsonite carry-on	11.1	1169.99	Pending	35	539.6	Lufthansa LEOS
CLM00135	PAX00015359	FL0004063	LH5769	11-12-2022	Lost	Black Rimowa suitcase	24.6	EUR 490.86	In Progress	3	0	Swissport
CLM00136	PAX00042780	FL0006321	LH4041	2023-05-30	Pilfered	Grey Tumi backpack	11.8	517.24	Resolved	3	1324.91	Fraport Ground Services
CLM00137	PAX00036995	FL0007919	LH131	2023-09-25	Damaged	Green hardcase	23.7	1885.54	Resolved		498.46	Swissport
CLM00138	PAX00008354	FL0004345	LH3461	2022-10-21	Delayed	Red duffel bag	15.9	1598.24	In Progress	31	0	Fraport Ground Services
CLM00139	PAX00035597	FL0000936	LH1679	2022-02-22	Delayed	Red duffel bag	21.1	EUR 916.08	Resolved	37	0	Fraport Ground Services
CLM00140	PAX00031881	FL0004123	LH5205	2022-10-26	Delayed	Red duffel bag	29.9	1581.28	Resolved	14	0	Swissport
CLM00141	PAX00023384	FL0004291	LH4104	2023-03-23	Damaged	Grey Tumi backpack	20.0	2362.8	In Progress		$211.8	Fraport Ground Services
CLM00142	PAX00013735	FL0008001	LH3002	2023-11-25	Damaged	Red duffel bag	13.3	2098.48	Pending		330.35	Swissport
CLM00143	PAX00021749	FL0003761	LH8896	2023-01-12	Pilfered	Brown leather bag	31.5	881.86	Resolved	5	215.71	Lufthansa LEOS
CLM00144	PAX00005571	FL0000848	LH1564	2021-12-05	Damaged	Green hardcase	9.4	2216.25	In Progress	19	0	Lufthansa LEOS
CLM00145	PAX00043660	FL0007447	LH4735	2023-10-07	Lost	Brown leather bag	16.3	1850.66	Resolved	20	0	Fraport Ground Services
CLM00146	PAX00015890	FL0002560	LH8140	2022-08-10	Lost	Blue Samsonite carry-on	18.7	1334.41	Resolved		1181.97	Swissport
CLM00147	PAX00028376	FL0010525	LH9024	2024-07-15	Delayed	Brown leather bag	30.9	505.89	In Progress	20	0	Fraport Ground Services
CLM00148	PAX00010703	FL0008933	LH9333	2024-03-16	Damaged	Black Rimowa suitcase	10.3	452.1	Resolved	18	1391.36	Fraport Ground Services
CLM00149	PAX00021721	FL0003760	LH1530	2022-10-16	Delayed	Blue Samsonite carry-on	29.6	1551.55	Resolved		0	Lufthansa LEOS
CLM00150	PAX00013857	FL0001699	LH1280	2022-05-11	Delayed	Black Rimowa suitcase	29.2	1875.29	Resolved	1	0	Swissport
CLM00151	PAX00001316	FL0007501	LH8893	2023-12-07	Damaged	Black Rimowa suitcase	22.6	2340.6	Resolved		424.27	Swissport
CLM00152	PAX00015550	FL0003067	LH3778	2022-10-16	Delayed	Blue Samsonite carry-on	30.9	871.6	Resolved	30	0	Lufthansa LEOS
CLM00153	PAX00003913	FL0002001	LH7583	2022-07-07	Damaged	Grey Tumi backpack	17.6	712.56	Resolved	22	0	Fraport Ground Services
CLM00154	PAX00006217	FL0003038	LH3006	2022-10-04	Delayed	Brown leather bag	9.2	1355.6	Denied		0	Fraport Ground Services
CLM00155	PAX00040417	FL0005155	LH5008	2023-02-10	Pilfered	Black Rimowa suitcase	28.4	407.59	Pending		785.87	Lufthansa LEOS
CLM00156	PAX00026749	FL0000010	LH6023	2021-12-20	Damaged	Brown leather bag	26.5	266.73	Pending	25	335.2	Swissport
CLM00157	PAX00034797	FL0001867	LH1226	2022-03-06	Damaged	Green hardcase	21.6	636.66	Resolved	2	0	Swissport
CLM00158	PAX00017519	FL0002240	LH6029	2022-05-14	Delayed	Blue Samsonite carry-on	23.4	112.84	Resolved	5	0	Lufthansa LEOS
CLM00159	PAX00033992	FL0009772	LH7067	2024-04-06	Delayed	Grey Tumi backpack	19.3	158.81	Resolved	3	0	Lufthansa LEOS
CLM00160	PAX00039750	FL0000119	LH7369	2021-09-26	Delayed	Black Rimowa suitcase	21.4	EUR 1423.46	Resolved	38	0	Fraport Ground Services
CLM00161	PAX00031318	FL0011864	LH9294	2024-07-19	Damaged	Red duffel bag	31.3	397.19	Denied	31	923.8	Fraport Ground Services
CLM00162	PAX00002285	FL0005257	LH5352	2023-03-26	Delayed	Red duffel bag	24.8	1109.31	Pending	19	0	Fraport Ground Services
CLM00163	PAX00034849	FL0006130	LH2518	2023-07-20	Lost	Green hardcase	11.9	345.01	Resolved	37	0	Lufthansa LEOS
CLM00164	PAX00007555	FL0006512	LH1703	2023-08-06	Delayed	Red duffel bag	22.8	1677.51	In Progress	43	0	Fraport Ground Services
CLM00165	PAX00017227	FL0008325	LH4164	2023-11-01	Lost	Blue Samsonite carry-on	29.5	1889.72	Resolved	11	0	Lufthansa LEOS
CLM00166	PAX00034663	FL0002737	LH4161	2022-08-04	Delayed	Black Rimowa suitcase	17.3	586.67	In Progress		0	Lufthansa LEOS
CLM00167	PAX00010667	FL0003399	LH5864	2022-10-28	Delayed	Blue Samsonite carry-on	13.5	802.46	In Progress	2	0	Swissport
CLM00168	PAX00005369	FL0010928	LH3065	2024-06-17	Delayed	Brown leather bag	28.9	177.37	Pending	10	0	Fraport Ground Services
CLM00169	PAX00037280	FL0010059	LH185	2024-02-10	Damaged	Green hardcase	15.7	482.79	Pending	13	353.94	Swissport
CLM00170	PAX00005720	FL0003501	LH5880	05-08-2022	Delayed	Grey Tumi backpack	10.3	2344.03	Pending	13	0	Fraport Ground Services
CLM00171	PAX00025762	FL0005822	LH4460	2023-07-15	Damaged	Black Rimowa suitcase	22.5	2111.83	Denied	38	1308.38	Fraport Ground Services
CLM00172	PAX00005211	FL0000322	LH4264	2021-11-28	Delayed	Brown leather bag	23.9	1997.13	Pending	16	0	Lufthansa LEOS
CLM00173	PAX00036669	FL0007442	LH2314	2023-10-14	Delayed	Black Rimowa suitcase	26.7	1137.16	Resolved	21	0	Swissport
CLM00174	PAX00000751	FL0009806	LH2787	2024-02-10	Lost	Brown leather bag	17.9	2179.58	In Progress		1015.29	Swissport
CLM00175	PAX00040127	FL0002033	LH4072	2022-06-20	Delayed	Blue Samsonite carry-on	25.8	2292.07	Resolved	1	0	Fraport Ground Services
CLM00176	PAX00019514	FL0009446	LH4990	2024-02-29	Damaged	Brown leather bag	9.2	1152.62	Pending		798.25	Lufthansa LEOS
CLM00177	PAX00017335	FL0005026	LH4488	11-02-2023	Delayed	Blue Samsonite carry-on	18.1	366.73	Pending	29	0	Lufthansa LEOS
CLM00178	PAX00037221	FL0001952	LH1933	2022-02-04	Delayed	Red duffel bag	24.4	1871.94	Resolved	31	0	Swissport
CLM00179	PAX00025008	FL0007811	LH8785	2023-12-27	Pilfered	Grey Tumi backpack	28.8	437.97	Resolved	35	0	Fraport Ground Services
CLM00180	PAX00034133	FL0001124	LH7604	2022-01-17	Lost	Red duffel bag	27.6	577.83	In Progress		954.49	Lufthansa LEOS
CLM00181	PAX00025965	FL0008170	LH1307	2023-10-23	Delayed	Green hardcase	8.5	449.34	Resolved	34	0	Lufthansa LEOS
CLM00182	PAX00028370	FL0008899	LH2825	2023-12-21	Lost	Red duffel bag	14.4	498.38	Denied	37	315.15	Fraport Ground Services
CLM00183	PAX00019089	FL0011387	LH5820	2024-07-07	Delayed	Green hardcase	30.6	1967.58	Denied	38	0	Swissport
CLM00184	PAX00001318	FL0007501	LH8893	2023-11-04	Damaged	Blue Samsonite carry-on	11.7	2225.44	Resolved	13	887.19	Lufthansa LEOS
CLM00185	PAX00031517	FL0000687	LH9623	2022-01-18	Damaged	Black Rimowa suitcase	8.2	540.42	Resolved	13	964.02	Fraport Ground Services
CLM00186	PAX00012463	FL0009175	LH733	2024-01-29	Delayed	Brown leather bag	28.3	EUR 1130.72	Pending	39	0	Lufthansa LEOS
CLM00187	PAX00043264	FL0011127	LH5206	2024-07-04	Damaged	Black Rimowa suitcase	21.2	EUR 2144.48	In Progress	30	0	Swissport
CLM00188	PAX00001464	FL0012075	LH3803	2024-12-09	Damaged	Blue Samsonite carry-on	27.0	1259.19	Resolved	6	1153.65	Swissport
CLM00189	PAX00032347	FL0008984	LH1776	2023-12-04	Lost	Black Rimowa suitcase	8.1	1381.56	Denied		1413.82	Swissport
CLM00190	PAX00040640	FL0005106	LH6809	2023-01-25	Delayed	Red duffel bag	20.2	1994.62	Pending	17	0	Fraport Ground Services
CLM00191	PAX00024929	FL0002183	LH5453	2022-06-22	Delayed	Red duffel bag	21.7	EUR 864.16	Resolved	7	0	Swissport
