flight_id,flight_number,aircraft_registration,aircraft_type,flight_type,origin,destination,destination_city,destination_country,region,route_category,date,scheduled_time,actual_time,delay_minutes,delay_reason,status,terminal,gate,passengers,load_factor_pct,cargo_kg,distance_km,flight_duration_min,fuel_consumption_kg,flight_revenue_eur
FL0000058,LH9439,D-AIBA,Airbus A319-100,Departure,FRA,MUC,Munich,Germany,Europe,Short-haul,2022-01-08,14:15,14:20,5,Weather conditions,Delayed,Terminal 1B,B26,101,73.8,,300,35,790,21374.88
FL0000059,LH1737,D-ABYC,Boeing 747-8,Departure,FRA,YYZ,Toronto,Canada,North America,Long-haul,2022-01-08,13:15,13:15,0,,On Time,Terminal 1A,B30,327,90.0,24662.0,6350,458,27658,273720.45
FL0000060,LH2552,D-AIKB,Airbus A330-300,Departure,FRA,PVG,Shanghai,China,Asia,Long-haul,2022-01-08,09:15,09:45,30,Connecting passengers,Delayed,Terminal 1B,C12,221,94.2,4281.0,8950,654,34956,221594.98
FL0000061,LH6254,D-AICB,Airbus A320-200,Arrival,AMS,FRA,Amsterdam,Netherlands,Europe,Short-haul,2022-01-09,11:20,11:20,0,,On Time,Terminal 1C,B24,126,75.1,2268.0,365,17,1092,21430.15
FL0000062,LH8376,D-AIKA,Airbus A330-300,Arrival,IAD,FRA,Washington,United States,North America,Long-haul,09/01/2022,10:15,10:15,0,,On Time,Terminal 1B,B7,206,87.8,,6350,459,27831,148738.0
FL0000063,LH7641,D-ABYD,Boeing 747-8,Arrival,JNB,FRA,Johannesburg,South Africa,Africa,Long-haul,2022-01-09,21:30,21:30,0,,On Time,Terminal 1B,C28,255,70.1,15202.0,8650,630,25443,271992.94
FL0000064,LH5062,D-AIHA,Airbus A340-600,Arrival,BKK,FRA,Bangkok,Thailand,Asia,Long-haul,2022-01-09,09:00,09:10,10,Weather conditions,Delayed,Terminal 1A,B1,219,74.0,23774.0,8950,654,38217,99232.64
FL0000065,LH3899,D-AINB,Airbus A320neo,Arrival,CDG,FRA,Paris,France,Europe,Short-haul,2022-01-10,08:10,08:10,0,,Early,Terminal 1B,C5,159,88.8,4055.0,450,49,1192,15994.93
FL0000066,LH7149,D-AINA,Airbus A320neo,Departure,FRA,LHR,London,United Kingdom,Europe,Short-haul,2022-01-10,18:40,18:00,20,Security check,Delayed,Terminal 1C,A11,168,93.9,1883.0,650,51,2066,41210.28
FL0000067,LH4338,D-AICB,Airbus A320-200,Departure,FRA,AMS,Amsterdam,Netherlands,Europe,Short-haul,2022-01-10,07:30,07:00,30,Technical issue,Delayed,Terminal 1A,A6,131,78.2,3351.0,365,21,732,19580.36
FL0000068,LH7786,D-AINA,Airbus A320neo,Departure,FRA,WAW,Warsaw,Poland,Europe,Short-haul,2022-01-10,07:15,07:15,0,,Early,Terminal 1B,B22,164,91.3,4523.0,890,71,2145,31997.86
FL0000069,LH2860,D-ABYD,Boeing 747-8,Arrival,JFK,FRA,New York,United States,North America,Long-haul,2022-01-10,08:40,08:40,0,,On Time,Terminal 1C,A26,267,73.5,5853.0,6200,441,25631,289683.45
FL0000070,LH2622,D-AIHA,Airbus A340-600,Departure,FRA,PVG,Shanghai,China,Asia,Long-haul,2022-01-10,08:00,08:00,0,,On Time,Terminal 1A,B9,241,81.4,8748.0,8950,658,26795,179221.71
FL0000071,LH8385,D-AINA,Airbus A320neo,Departure,FRA,CDG,Paris,France,Europe,Short-haul,2022-01-11,14:05,14:05,0,,Early,Terminal 1B,B28,135,75.4,3251.0,450,40,1378,26902.93
FL0000072,LH3921,D-AIEB,Airbus A321neo,Departure,FRA,LHR,London,United Kingdom,Europe,Short-haul,2022-01-11,17:35,17:35,0,,On Time,Terminal 1B,C20,181,92.8,1242.0,650,45,1437,20633.59
FL0000073,LH2880,D-AICC,Airbus A320-200,Departure,FRA,FCO,Rome,Italy,Europe,Short-haul,2022-01-11,10:50,10:50,0,,On Time,Terminal 1C,C14,135,80.8,3151.0,960,84,2750,21958.87
FL0000074,LH623,D-AIDA,Airbus A321-200,Departure,FRA,BCN,Barcelona,Spain,Europe,Medium-haul,2022-01-11,16:50,16:10,20,De-icing,Delayed,Terminal 1C,B20,144,75.9,,1090,77,2987,27570.69
FL0000075,LH5591,D-AICA,Airbus A320-200,Arrival,IST,FRA,Istanbul,Turkey,Europe,Medium-haul,2022-01-11,06:20,06:20,0,,On Time,Terminal 1B,A11,160,95.7,1045.0,1860,127,4411,43565.03
FL0000076,LH9626,D-AIDB,Airbus A321-200,Departure,FRA,MUC,Munich,Germany,Europe,Short-haul,2022-01-11,12:50,12:50,0,,On Time,Terminal 1C,A16,172,90.9,3456.0,300,20,662,29096.31
FL0000077,LH2324,D-AINB,Airbus A320neo,Arrival,LHR,FRA,London,United Kingdom,Europe,Short-haul,2022-01-12,09:30,09:30,0,,On Time,Terminal 1C,C16,124,69.1,,650,42,1328 kg,13243.32
FL0000078,LH2694,D-AICB,Airbus A320-200,Arrival,ZRH,FRA,Zurich,Switzerland,Europe,Short-haul,2022-01-12,20:15,20:15,0,,On Time,Terminal 1B,C10,125,74.6,1321.0,305,30,928,17209.12
FL0000079,LH146,D-AIDA,Airbus A321-200,Arrival,ATH,FRA,Athens,Greece,Europe,Medium-haul,2022-01-12,07:00,07:15,15,Security check,Delayed,Terminal 1B,A10,133,70.2,1004.0,1810,125,4641,30636.46
FL0000080,LH7917,D-AINA,Airbus A320neo,Arrival,CDG,FRA,Paris,France,Europe,Short-haul,2022-01-13,08:10,08:10,0,,On Time,Terminal 1B,C16,150,83.8,2554.0,450,25,1058,16345.6
FL0000081,LH3381,D-AIEA,Airbus A321neo,Arrival,AMS,FRA,Amsterdam,Netherlands,Europe,Short-haul,2022-01-13,08:45,08:45,0,,Early,Terminal 1C,C2,181,92.8,250.0,365,43,743,18746.38
FL0000082,LH3548,D-AIBA,Airbus A319-100,Arrival,MAD,FRA,Madrid,Spain,Europe,Medium-haul,2022-01-13,08:00,08:00,0,,Early,Terminal 1A,B9,121,88.0,2867.0,1450,109,4043,40329.74
FL0000083,LH3073,D-AIBB,Airbus A319-100,Arrival,BCN,FRA,Barcelona,Spain,Europe,Medium-haul,2022-01-13,12:25,12:25,0,,On Time,Terminal 1A,C19,131 pax,95.5,2328.0,1090,68,3465,32523.98
FL0000084,LH2496,D-AIEA,Airbus A321neo,Departure,FRA,ZRH,Zurich,Switzerland,Europe,Short-haul,2022-01-13,08:25,08:25,0,,Early,Terminal 1A,B3,157,80.7,2596.0,305,28,755,38774.76
FL0000085,LH3562,D-AICC,Airbus A320-200,Departure,FRA,MUC,Munich,Germany,Europe,Short-haul,2022-01-13,16:25,16:25,0,,Early,Terminal 1B,A27,126,75.1,4566.0,300,38,959,31244.13
FL0000086,LH2722,D-ABYD,Boeing 747-8,Departure,FRA,JFK,New York,United States,North America,Long-haul,2022-01-13,09:50,09:00,10,Baggage loading,Delayed,Terminal 1A,C16,346,95.1,16314.0,6200,461,16573,406432.17
FL0000087,LH8435,D-AIXB,Airbus A350-900,Arrival,BKK,FRA,Bangkok,Thailand,Asia,Long-haul,2022-01-13,20:20,20:20,0,,On Time,Terminal 1A,A11,249,91.8,19612.0,8950,649,22990,150471.55
FL0000088,LH1153,D-AICC,Airbus A320-200,Departure,FRA,CDG,Paris,France,Europe,Short-haul,2022-01-14,06:20,06:25,5,Security check,Delayed,Terminal 1A,B2,151,90.3,736.0,450,43,1413,22556.97
FL0000089,LH6264,D-AIDA,Airbus A321-200,Departure,FRA,LHR,London,United Kingdom,Europe,Short-haul,2022-01-14,19:20,19:20,0,,On Time,Terminal 1A,A12,137,72.3,868.0,650,55,2003,21365.8
FL0000090,LH7163,D-AIEB,Airbus A321neo,Departure,FRA,AMS,Amsterdam,Netherlands,Europe,Short-haul,2022-01-14,06:15,06:15,0,,On Time,Terminal 1C,A27,138,70.9,2856.0,365,22,1009,32479.01
FL0000091,LH2757,D-AIEB,Airbus A321neo,Departure,FRA,FCO,Rome,Italy,Europe,Short-haul,2022-01-14,11:35,11:35,0,,On Time,Terminal 1A,C10,144,74.0,1847.0,960,67,2868,29844.5
FL0000092,LH729,D-AICA,Airbus A320-200,Departure,FRA,MAD,Madrid,Spain,Europe,Medium-haul,2022-01-14,16:05,16:05,0,,Early,Terminal 1C,B8,134,79.8,1849.0,1450,111,4318,
FL0000093,LH7117,D-AIDA,Airbus A321-200,Arrival,MUC,FRA,Munich,Germany,Europe,Short-haul,2022-01-14,12:25,12:25,0,,On Time,Terminal 1B,B18,157,83.1,4542.0,300,38,651,34721.47
FL0000094,LH3122,D-ABYB,Boeing 747-8,Arrival,SIN,FRA,Singapore,Singapore,Asia,Long-haul,14/01/2022,13:20,13:20,0,,Early,Terminal 1B,A16,257,70.7,18035.0,10300,737,40917,115295.39
FL0000095,LH8953,D-AIXA,Airbus A350-900,Departure,FRA,PVG,Shanghai,China,Asia,Long-haul,2022-01-14,14:20,14:30,10,Connecting passengers,Delayed,Terminal 1C,C14,212,78.0,23630.0,8950,645,25121,232401.83
FL0000096,LH7402,D-AIDA,Airbus A321-200,Arrival,CDG,FRA,Paris,France,Europe,Short-haul,2022-01-15,13:45,13:00,15,Bird strike,Delayed,Terminal 1A,A25,149,78.8,4330.0,450,50,1169,25599.71
FL0000097,LH4913,D-AIBB,Airbus A319-100,Arrival,LHR,FRA,London,United Kingdom,Europe,Short-haul,2022-01-15,15:55,15:55,0,,On Time,Terminal 1B,B10,112,81.5,3488.0,650,42,1462,13140.86
FL0000098,LH7264,D-AIBA,Airbus A319-100,Arrival,FCO,FRA,Rome,Italy,Europe,Short-haul,2022-01-15,15:30,15:40,10,Strike action,Delayed,Terminal 1C,A9,99,72.4,,960,60,2610,10405.09
FL0000099,LH5293,D-AIDA,Airbus A321-200,Arrival,MXP,FRA,Milan,Italy,Europe,Short-haul,2022-01-15,15:35,15:35,0,,On Time,Terminal 1C,C19,169,89.0,643.0,515,51,1038,20217.09
FL0000100,LH7835,D-AIBB,Airbus A319-100,Arrival,BCN,FRA,Barcelona,Spain,Europe,Medium-haul,2022-01-15,14:20,14:20,0,,On Time,Terminal 1C,A20,117,85.4,3230.0,1090,73,2672,30624.27
FL0000101,LH6685,D-AIDB,Airbus A321-200,Departure,FRA,MUC,Munich,Germany,Europe,Short-haul,2022-01-15,13:15,13:15,0,,On Time,Terminal 1B,A28,156,82.2,2470.0,300,29,909,30954.25
FL0000102,LH9772,D-AIEA,Airbus A321neo,Departure,FRA,DUS,Dusseldorf,Germany,Europe,Short-haul,2022-01-15,09:30,09:30,0,,Early,Terminal 1B,B26,183,94.0,3780.0,225,32,698,33870.66
FL0000103,LH8864,D-AIXC,Airbus A350-900,Arrival,ORD,FRA,Chicago,United States,North America,Long-haul,2022-01-15,09:00,09:00,0,,On Time,Terminal 1C,B18,242,89.2,21709.0,6970,499,21991,267312.09
FL0000104,LH8943,D-AIKB,Airbus A330-300,Departure,FRA,IAD,Washington,United States,North America,Long-haul,2022-01-15,08:30,08:30,0,,On Time,Terminal 1C,B4,173,73.8,17286.0,6350,462,23605,90670.75
FL0000105,LH3058,D-ABYC,Boeing 747-8,Departure,FRA,DEL,Delhi,India,Asia,Long-haul,2022-01-15,22:00,22:00,0,,On Time,Terminal 1B,C15,248,68.3,19500.0,5850,434,20964,214133.93
FL0000106,LH276,D-AIDB,Airbus A321-200,Arrival,LHR,FRA,London,United Kingdom,Europe,Short-haul,2022-01-16,06:50,06:05,15,Medical emergency,Delayed,Terminal 1A,A17,134 pax,70.6,676.0,650,45,1567,11869.89
FL0000107,LH7903,D-AIBB,Airbus A319-100,Arrival,AMS,FRA,Amsterdam,Netherlands,Europe,Short-haul,2022-01-16,20:40,20:40,0,,On Time,Terminal 1C,A25,104,75.7,2742.0,365,21,974,25294.94
FL0000108,LH2855,D-AINA,Airbus A320neo,Departure,FRA,FCO,Rome,Italy,Europe,Short-haul,2022-01-16,10:05,10:05,0,,On Time,Terminal 1A,C11,136,75.9,3812.0,960,80,2642,19608.57
FL0000109,LH6422,D-AICC,Airbus A320-200,Departure,FRA,ZRH,Zurich,Switzerland,Europe,Short-haul,2022-01-16,21:25,21:25,0,,On Time,Terminal 1A,A20,155,92.5,315.0,305,27,932,30049.35
FL0000110,LH6956,D-AICC,Airbus A320-200,Arrival,IST,FRA,Istanbul,Turkey,Europe,Medium-haul,2022-01-16,18:35,18:35,0,,On Time,Terminal 1C,B21,138,82.7,3732.0,1860,125,4745,
FL0000111,LH7175,D-AIDA,Airbus A321-200,Arrival,MUC,FRA,Munich,Germany,Europe,Short-haul,2022-01-16,13:50,13:50,0,,Early,Terminal 1B,B8,151 pax,79.7,3542.0,300,34,900,23628.28
FL0000112,LH778,D-AIHA,Airbus A340-600,Departure,FRA,GRU,Sao Paulo,Brazil,South America,Long-haul,2022-01-16,21:05,21:05,0,,On Time,Terminal 1A,B13,254,85.7,8739.0,9850,713,38014,148812.58
FL0000113,LH9972,D-AICC,Airbus A320-200,Departure,FRA,CDG,Paris,France,Europe,Short-haul,2022-01-17,13:20,13:20,0,,Early,Terminal 1B,B25,118,70.2,824.0,450,23,903,21876.79
FL0000114,LH5110,D-AIDA,Airbus A321-200,Departure,FRA,LHR,London,United Kingdom,Europe,Short-haul,2022-01-17,13:30,13:30,0,,Early,Terminal 1A,A1,136,71.6,2621.0,650,38,1473,11186.5
FL0000115,LH8105,D-AICC,Airbus A320-200,Arrival,VIE,FRA,Vienna,Austria,Europe,Short-haul,17/01/2022,08:20,08:20,0,,On Time,Terminal 1B,A6,148,88.1,2580.0,600,43,1635,13848.66
FL0000116,LH6156,D-AIBA,Airbus A319-100,Arrival,ZRH,FRA,Zurich,Switzerland,Europe,Short-haul,2022-01-17,13:00,13:05,5,Connecting passengers,Delayed,Terminal 1B,B14,124,90.4,3804.0,305,22,640,22642.88
FL0000117,LH6973,D-AIDB,Airbus A321-200,Arrival,ATH,FRA,Athens,Greece,Europe,Medium-haul,2022-01-17,11:20,11:50,30,Bird strike,Delayed,Terminal 1C,C19,139,73.6,4008.0,1810,138,5075,32443.11
FL0000118,LH5047,D-AICB,Airbus A320-200,Departure,FRA,LIS,Lisbon,Portugal,Europe,Medium-haul,2022-01-17,07:40,07:40,0,,Early,Terminal 1A,C9,138,82.4,1354.0,1880,134,5521,21358.11
