incident_id,flight_id,flight_number,aircraft_registration,date,route,route_category,delay_minutes,delay_reason,severity,compensation_eligible,passengers_affected,rebooking_required,hotel_provided,meal_voucher_provided,estimated_cost_eur,reported_by,resolution_time_min
INC000033,FL0000119,LH7369,D-ABYB,2022-01-17,FRA-JFK,Long-haul,20,Fuel issue,Minor,No,284,No,No,No,2748.87,ATC,48
INC000034,FL0000120,LH228,D-AINA,2022-01-18,FRA-CDG,Short-haul,15,Security check,Minor,No,149,No,No,No,2618.68,Ground Handling,51
INC000035,FL0000129,LH9519,D-AIHC,2022-01-18,FRA-DXB,Long-haul,20,Passenger boarding,Minor,No,277,No,No,No,3727.83,Operations Center,61
INC000036,FL0000132,LH2381,D-AIDB,2022-01-19,MUC-FRA,Short-haul,5,Strike action,Minor,No,151 passengers,No,No,No,539.84,Ground Handling,28
INC000037,FL0000133,LH5753,D-AICA,2022-01-19,FRA-DUS,Short-haul,15,Security check,Minor,No,137,No,No,No,1930.4,Operations Center,42
INC000038,FL0000138,LH2467,D-AIBB,2022-01-20,FRA-CDG,Short-haul,10,Passenger boarding,Minor,No,96,No,No,No,1140.76,Flight Crew,58
INC000039,FL0000139,LH4621,D-AIBA,2022-01-20,LHR-FRA,Short-haul,15,Bird strike,Minor,No,131,No,No,No,1158.15,Flight Crew,36
INC000040,FL0000141,LH1454,D-AINB,2022-01-20,CPH-FRA,Short-haul,60,Weather conditions,Major,No,150,No,No,No,10578.96,Passenger Services,106
INC000041,FL0000142,LH181,D-AICA,2022-01-20,DUS-FRA,Short-haul,5,Passenger boarding,Minor,No,149,No,No,No,996.75,ATC,25
INC000042,FL0000150,LH1090,D-AICC,2022-01-21,DUS-FRA,Short-haul,15,Weather conditions,Minor,No,144,No,No,No,2730.89,ATC,57
INC000043,FL0000153,LH2594,D-AIBB,2022-01-22,FRA-AMS,Short-haul,10,Airport congestion,Minor,No,99,No,No,No,761.2,Passenger Services,65
INC000044,FL0000157,LH4897,D-AIEB,2022-01-22,FRA-MUC,Short-haul,15,Air traffic control,Minor,No,183,No,No,No,2344.98,Passenger Services,50
INC000045,FL0000164,LH635,D-ABYD,2022-01-23,ORD-FRA,Long-haul,30,Security check,Moderate,No,309,No,No,No,4260.44,Passenger Services,49
INC000046,FL0000167,LH4008,D-AIDB,2022-01-24,FCO-FRA,Short-haul,10,Connecting passengers,Minor,No,180,No,No,No,1484.8,Operations Center,40
INC000047,FL0000168,LH4265,D-AINB,2022-01-24,FRA-MAD,Medium-haul,20,Strike action,Minor,No,161,No,No,No,1300.33,Flight Crew,41
INC000048,FL0000169,LH6996,D-AIEB,2022-01-24,FRA-VIE,Short-haul,5,Late incoming aircraft,Minor,No,153,No,No,No,446.42,Ground Handling,64
INC000049,FL0000170,LH7206,D-AIDB,2022-01-24,CPH-FRA,Short-haul,15,Crew availability,Minor,No,159,No,No,No,1014.97,Flight Crew,26
INC000050,FL0000172,LH3233,D-AIBB,2022-01-24,FRA-DUS,Short-haul,45,Medical emergency,Moderate,No,100,No,No,No,7910.22,ATC,78
INC000051,FL0000180,LH6978,D-AIDB,2022-01-26,CDG-FRA,Short-haul,15,Air traffic control,Minor,No,180,No,No,No,1520.12,Passenger Services,70
INC000052,FL0000181,LH2320,D-AIDB,2022-01-26,FRA-LHR,Short-haul,10,Air traffic control,Minor,No,161,No,No,No,1626.91,Passenger Services,58
INC000053,FL0000182,LH902,D-AICB,2022-01-26,ZRH-FRA,Short-haul,15,Strike action,Minor,No,139,No,No,No,2513.74,Ground Handling,64
INC000054,FL0000183,LH4933,D-AIBB,2022-01-26,FRA-CPH,Short-haul,15,Fuel issue,Minor,No,114 passengers,No,No,No,2866.8,Passenger Services,67
INC000055,FL0000186,LH908,D-AICC,2022-01-27,MAD-FRA,Medium-haul,10,Connecting passengers,Minor,No,155,No,No,No,777.18,Flight Crew,40
INC000056,FL0000188,LH644,D-AIDA,2022-01-27,FRA-DUS,Short-haul,10,De-icing,Minor,No,160,No,No,No,1133.96,Flight Crew,52
INC000057,FL0000194,LH2545,D-AINB,2022-01-28,WAW-FRA,Short-haul,10,Runway maintenance,Minor,No,167,No,No,No,1910.09 EUR,Operations Center,58
INC000058,FL0000200,LH4244,D-AIXD,2022-01-28,FRA-YYZ,Long-haul,10,Strike action,Minor,No,228,No,No,No,1187.57,Operations Center,42
INC000059,FL0000203,LH760,D-AICB,2022-01-29,FRA-LHR,Short-haul,5,De-icing,Minor,No,135,No,No,No,270.5,Ground Handling,48
INC000060,FL0000206,LH8103,D-AIDB,2022-01-29,FRA-BRU,Short-haul,10,Weather conditions,Minor,No,156,No,No,No,1982.97,Flight Crew,63
INC000061,FL0000209,LH7793,D-AIHC,2022-01-29,NRT-FRA,Long-haul,5,Passenger boarding,Minor,No,272,No,No,No,592.02,Flight Crew,31
INC000062,FL0000213,LH8500,D-AIBA,2022-01-30,FRA-MUC,Short-haul,10,Security check,Minor,No,130,No,No,No,618.77 EUR,Flight Crew,36
INC000063,FL0000219,LH6004,D-AIDA,2022-02-01,FRA-LHR,Short-haul,5,De-icing,Minor,No,169,No,No,No,874.05,ATC,59
INC000064,FL0000221,LH9079,D-AICA,2022-02-01,FRA-ZRH,Short-haul,15,Technical issue,Minor,No,131,No,No,No,1041.41,Ground Handling,62
INC000065,FL0000230,LH8327,D-AICA,02/02/2022,IST-FRA,Medium-haul,20,Strike action,Minor,No,135,No,No,No,3006.24,Flight Crew,31
INC000066,FL0000231,LH4632,D-AIBB,2022-02-02,MUC-FRA,Short-haul,15,Late incoming aircraft,Minor,No,121,No,No,No,2651.99,Flight Crew,39
INC000067,FL0000234,LH7380,D-AICA,2022-02-03,FRA-LHR,Short-haul,10,Strike action,Minor,No,157,No,No,No,1737.11,ATC,53
INC000068,FL0000235,LH5617,D-AINA,2022-02-03,FRA-AMS,Short-haul,15,Baggage loading,Minor,No,167,No,No,No,948.13,Flight Crew,37
INC000069,FL0000236,LH5770,D-AIEA,2022-02-03,FRA-ARN,Medium-haul,15,Baggage loading,Minor,No,157,No,No,No,1647.49,Passenger Services,42
INC000070,FL0000237,LH2324,D-AINA,2022-02-03,FRA-MUC,Short-haul,5,Connecting passengers,Minor,No,148,No,No,No,559.68,Ground Handling,26
INC000071,FL0000244,LH6064,D-AIXB,2022-02-04,DEL-FRA,Long-haul,5,Connecting passengers,Minor,No,246,No,No,No,347.8,Ground Handling,64
INC000072,FL0000251,LH9211,D-AIBA,2022-02-06,ZRH-FRA,Short-haul,5,Fuel issue,Minor,No,107,No,No,No,955.84,ATC,50
INC000073,FL0000253,LH191,D-AICB,2022-02-06,FRA-MUC,Short-haul,20,Security check,Minor,No,144,No,No,No,2942.37,Ground Handling,49
INC000074,FL0000255,LH100,D-ABYD,2022-02-06,FRA-ORD,Long-haul,30,Late incoming aircraft,Moderate,No,265,No,No,No,2509.52,Ground Handling,74
INC000075,FL0000266,LH9704,D-AINB,2022-02-08,FRA-BCN,Medium-haul,5,Runway maintenance,Minor,No,123,No,No,No,452.31,Ground Handling,49
INC000076,FL0000270,LH4997,D-AIEA,2022-02-08,IST-FRA,Medium-haul,5,Medical emergency,Minor,No,161,No,No,No,481.05,Passenger Services,42
INC000077,FL0000271,LH8366,D-AIBB,2022-02-08,FRA-MUC,Short-haul,10,De-icing,Minor,No,98,No,No,No,1174.03,Passenger Services,63
INC000078,FL0000278,LH1226,D-AINB,2022-02-09,FRA-DUS,Short-haul,5,Runway maintenance,Minor,No,134,No,No,No,495.85,ATC,46
INC000079,FL0000279,LH9800,D-AIHC,2022-02-09,JFK-FRA,Long-haul,10,Air traffic control,Minor,No,206,No,No,No,823.35,ATC,29
INC000080,FL0000280,LH3388,D-AIHC,09/02/2022,BKK-FRA,Long-haul,60,Airport congestion,Major,No,216,No,No,No,8686.5,Passenger Services,72
INC000081,FL0000281,LH3149,D-AIEB,10/02/2022,CDG-FRA,Short-haul,10,Technical issue,Minor,No,178,No,No,No,1365.75,Flight Crew,48
INC000082,FL0000291,LH7586,D-AIDB,2022-02-11,FRA-MUC,Short-haul,20,Passenger boarding,Minor,No,175,No,No,No,2194.31,Operations Center,52
INC000083,FL0000292,LH9753,D-AINA,2022-02-11,FRA-DUS,Short-haul,5,Security check,Minor,No,158,No,No,No,267.85,Passenger Services,47
INC000084,FL0000293,LH5833,D-AIKA,2022-02-11,FRA-JFK,Long-haul,5,Technical issue,Minor,No,180,No,No,No,886.27,Flight Crew,39
INC000085,FL0000294,LH8922,D-AIXB,2022-02-11,ORD-FRA,Long-haul,10,Technical issue,Minor,No,219,No,No,No,827.19,Operations Center,22
INC000086,FL0000295,LH4893,D-AIHB,2022-02-11,FRA-IAD,Long-haul,10,De-icing,Minor,No,275,No,No,No,1517.31,Operations Center,68
INC000087,FL0000297,LH9122,D-AIKC,2022-02-11,DXB-FRA,Long-haul,90,Security check,Major,No,169,No,No,No,8212.26,ATC,104
INC000088,FL0000299,LH6140,D-AIDA,2022-02-12,AMS-FRA,Short-haul,15,Security check,Minor,No,157,No,No,No,2659.31 EUR,Operations Center,25
INC000089,FL0000307,LH5974,D-AIHA,2022-02-13,FRA-ORD,Long-haul,20,Medical emergency,Minor,No,280,No,No,No,1842.65,Flight Crew,66
INC000090,FL0000310,LH5158,D-AIBA,2022-02-14,FRA-MAD,Medium-haul,5,Technical issue,Minor,No,109,No,No,No,638.19,ATC,59
INC000091,FL0000313,LH4931,D-AIDB,2022-02-14,FRA-MUC,Short-haul,45,Connecting passengers,Moderate,No,168,No,No,No,7325.29,Operations Center,58
INC000092,FL0000314,LH5088,D-AIHB,2022-02-14,JFK-FRA,Long-haul,15,Connecting passengers,Minor,No,280,No,No,No,932.66,Flight Crew,46
INC000093,FL0000320,LH9436,D-AIEB,2022-02-15,FRA-VIE,Short-haul,20,Strike action,Minor,No,151,No,No,No,2618.78,Passenger Services,40
INC000094,FL0000326,LH4293,D-AIKB,2022-02-15,FRA-NRT,Long-haul,10,Connecting passengers,Minor,No,172,No,No,No,1153.48,Ground Handling,33
INC000095,FL0000330,LH6470,D-AICC,2022-02-16,LHR-FRA,Short-haul,20,Weather conditions,Minor,No,122,No,No,No,2891.57,Passenger Services,63
INC000096,FL0000332,LH1589,D-AICC,2022-02-16,FRA-MAD,Medium-haul,10,Connecting passengers,Minor,No,141,No,No,No,1336.45,Operations Center,55
INC000097,FL0000334,LH6814,D-AINB,16/02/2022,VIE-FRA,Short-haul,45,Passenger boarding,Moderate,No,138,No,No,No,3000.26,Flight Crew,56
INC000098,FL0000335,LH5580,D-AICA,2022-02-16,MUC-FRA,Short-haul,15,De-icing,Minor,No,151,No,No,No,2288.23,Ground Handling,59
INC000099,FL0000342,LH7558,D-AIDA,2022-02-18,ZRH-FRA,Short-haul,30,De-icing,Moderate,No,172,No,No,No,3202.73,Ground Handling,59
INC000100,FL0000345,LH5524,D-AIDA,19/02/2022,FRA-CDG,Short-haul,10,Weather conditions,Minor,No,141,No,No,No,655.34,Operations Center,25
INC000101,FL0000352,LH5150,D-AIXD,2022-02-19,FRA-IAD,Long-haul,30,Baggage loading,Moderate,No,233,No,No,No,3976.52,Flight Crew,85
INC000102,FL0000355,LH8129,D-AICA,2022-02-20,AMS-FRA,Short-haul,15,Strike action,Minor,No,133,No,No,No,1054.16,Flight Crew,42
INC000103,FL0000357,LH1192,D-AIBB,2022-02-20,FRA-BCN,Medium-haul,10,Runway maintenance,Minor,No,102,No,No,No,1744.52,Ground Handling,48
INC000104,FL0000368,LH3021,D-AINB,2022-02-22,FRA-AMS,Short-haul,10,Strike action,Minor,No,126,No,No,No,981.21,Flight Crew,54
INC000105,FL0000392,LH5432,D-ABYA,2022-02-25,FRA-DEL,Long-haul,15,Late incoming aircraft,Minor,No,280,No,No,No,2451.84 EUR,ATC,64
INC000106,FL0000399,LH9099,D-AIEB,2022-02-27,FRA-LHR,Short-haul,30,Technical issue,Moderate,No,167,No,No,No,2437.45,Ground Handling,68
INC000107,FL0000402,LH1796,D-AIHC,27/02/2022,ORD-FRA,Long-haul,10,Security check,Minor,No,227,No,No,No,1520.65,ATC,24
INC000108,FL0000404,LH1554,D-AICA,2022-02-28,FRA-MXP,Short-haul,45,Passenger boarding,Moderate,No,129,No,No,No,4008.11 EUR,Ground Handling,92
INC000109,FL0000408,LH3436,D-AIEA,2022-03-01,FRA-CDG,Short-haul,15,Bird strike,Minor,No,146,No,No,No,2213.69,ATC,75
INC000110,FL0000409,LH1079,D-AICB,2022-03-01,FRA-LHR,Short-haul,10,Late incoming aircraft,Minor,No,137,No,No,No,703.74,Operations Center,59
INC000111,FL0000411,LH9998,D-AIEA,2022-03-01,BCN-FRA,Medium-haul,5,Fuel issue,Minor,No,186,No,No,No,971.51 EUR,Flight Crew,38
INC000112,FL0000413,LH5383,D-AINB,2022-03-01,ZRH-FRA,Short-haul,15,Baggage loading,Minor,No,160,No,No,No,1165.55,ATC,71
INC000113,FL0000416,LH6489,D-AINA,2022-03-01,FRA-DUS,Short-haul,5,Security check,Minor,No,150,No,No,No,729.55,ATC,43
INC000114,FL0000418,LH6629,D-AIHC,2022-03-01,FRA-GRU,Long-haul,10,Medical emergency,Minor,No,267,No,No,No,667.09,Operations Center,32
INC000115,FL0000422,LH9662,D-AIEA,2022-03-02,FRA-MAD,Medium-haul,30,Fuel issue,Moderate,No,169,No,No,No,4139.68,ATC,75
INC000116,FL0000427,LH3944,D-AICA,2022-03-03,FRA-LHR,Short-haul,90,Strike action,Major,No,119,No,No,No,17382.6,Passenger Services,100
INC000117,FL0000446,LH5823,D-AICC,2022-03-04,FRA-DUS,Short-haul,15,Passenger boarding,Minor,No,132,No,No,No,2922.69,Passenger Services,43
INC000118,FL0000447,LH7882,D-AIXA,2022-03-04,FRA-JFK,Long-haul,5,Runway maintenance,Minor,No,232 passengers,No,No,No,538.98,Ground Handling,58
INC000119,FL0000453,LH5599,D-AIEB,2022-03-05,FRA-BRU,Short-haul,30,Strike action,Moderate,No,152 passengers,No,No,No,3070.0,Flight Crew,64
INC000120,FL0000454,LH7320,D-AINA,2022-03-05,FRA-IST,Medium-haul,60,Technical issue,Major,No,168,No,No,No,11521.22,Operations Center,111
INC000121,FL0000457,LH8737,D-ABYD,2022-03-05,SIN-FRA,Long-haul,5,Bird strike,Minor,No,302,No,No,No,473.69,Operations Center,64
INC000122,FL0000458,LH3091,D-AIXA,2022-03-05,FRA-BKK,Long-haul,30,De-icing,Moderate,No,215,No,No,No,2475.23,Passenger Services,89
INC000123,FL0000465,LH6844,D-AINA,2022-03-06,CPH-FRA,Short-haul,20,Airport congestion,Minor,No,167,No,No,No,3658.17,Flight Crew,31
INC000124,FL0000466,LH2456,D-AIDA,2022-03-06,FRA-WAW,Short-haul,30,Connecting passengers,Moderate,No,156,No,No,No,1891.34,Ground Handling,74
INC000125,FL0000467,LH5978,D-AICA,2022-03-06,FRA-DUS,Short-haul,60,Strike action,Major,No,156,No,No,No,11610.49,ATC,73
INC000126,FL0000476,LH9180,D-AICA,2022-03-07,LIS-FRA,Medium-haul,15,Medical emergency,Minor,No,127,No,No,No,2100.09,Operations Center,67
INC000127,FL0000478,LH2836,D-AIXC,2022-03-07,FRA-DXB,Long-haul,10,Passenger boarding,Minor,No,200,No,No,No,507.55,Ground Handling,43
INC000128,FL0000481,LH419,D-AIDB,2022-03-08,AMS-FRA,Short-haul,15,Crew availability,Minor,No,163,No,No,No,1800.53,ATC,66
INC000129,FL0000485,LH6466,D-AIBB,2022-03-08,MUC-FRA,Short-haul,15,Technical issue,Minor,No,114,No,No,No,1072.24,Operations Center,50
INC000130,FL0000491,LH1672,D-AICB,2022-03-09,LHR-FRA,Short-haul,5,De-icing,Minor,No,131,No,No,No,523.97,Operations Center,55
INC000131,FL0000493,LH7561,D-AIBA,2022-03-09,VIE-FRA,Short-haul,90,Passenger boarding,Major,No,108,No,No,No,13533.79,Ground Handling,130
INC000132,FL0000502,LH1104,D-AIEA,2022-03-10,AMS-FRA,Short-haul,20,Technical issue,Minor,No,172,No,No,No,2352.37,Ground Handling,52
INC000133,FL0000503,LH7900,D-AICC,2022-03-10,FRA-FCO,Short-haul,20,De-icing,Minor,No,160,No,No,No,3204.98,Ground Handling,55
INC000134,FL0000507,LH5274,D-AINB,2022-03-10,FRA-MUC,Short-haul,15,Airport congestion,Minor,No,131,No,No,No,2627.96,Ground Handling,33
INC000135,FL0000514,LH5510,D-AIEA,2022-03-11,FCO-FRA,Short-haul,10,Weather conditions,Minor,No,145,No,No,No,655.43,Flight Crew,67
INC000136,FL0000529,LH5753,D-ABYD,12/03/2022,FRA-SIN,Long-haul,15,Airport congestion,Minor,No,336,No,No,No,2227.24,ATC,55
INC000137,FL0000531,LH2371,D-AIHC,2022-03-12,BKK-FRA,Long-haul,5,Runway maintenance,Minor,No,206,No,No,No,487.56,Flight Crew,18
INC000138,FL0000535,LH3246,D-AIEA,2022-03-13,MXP-FRA,Short-haul,10,Passenger boarding,Minor,No,150,No,No,No,1268.63,Ground Handling,53
INC000139,FL0000536,LH941,D-AIEA,2022-03-13,BCN-FRA,Medium-haul,10,Fuel issue,Minor,No,144,No,No,No,1101.06,ATC,63
INC000140,FL0000538,LH2516,D-AIEA,2022-03-13,FRA-BRU,Short-haul,5,Fuel issue,Minor,No,171,No,No,No,634.49,ATC,61
INC000141,FL0000545,LH2493,D-AIEA,2022-03-14,FRA-MXP,Short-haul,15,Weather conditions,Minor,No,157,No,No,No,2387.88,ATC,56
INC000142,FL0000546,LH1031,D-AIBB,2022-03-14,FRA-MAD,Medium-haul,10,Crew availability,Minor,No,124,No,No,No,1463.27,Passenger Services,69
INC000143,FL0000548,LH975,D-AICB,2022-03-14,VIE-FRA,Short-haul,90,Airport congestion,Major,No,120,No,No,No,9651.87,Ground Handling,117
INC000144,FL0000550,LH8750,D-AICB,14/03/2022,IST-FRA,Medium-haul,10,Strike action,Minor,No,121,No,No,No,867.72,Passenger Services,43
INC000145,FL0000558,LH5617,D-AICB,2022-03-15,ARN-FRA,Medium-haul,5,Bird strike,Minor,No,140,No,No,No,250.84,Flight Crew,37
INC000146,FL0000559,LH3297,D-AINB,2022-03-15,MUC-FRA,Short-haul,30,Runway maintenance,Moderate,No,159 passengers,No,No,No,5396.45,Passenger Services,57
INC000147,FL0000571,LH9006,D-AIDA,2022-03-17,FRA-CDG,Short-haul,10,Weather conditions,Minor,No,170,No,No,No,1318.09,Passenger Services,57
INC000148,FL0000577,LH1465,D-AICC,2022-03-17,FRA-LIS,Medium-haul,10,Late incoming aircraft,Minor,No,140,No,No,No,1286.88,ATC,61
INC000149,FL0000587,LH3606,D-AINA,2022-03-18,FRA-ATH,Medium-haul,5,De-icing,Minor,No,151,No,No,No,934.33,Ground Handling,34
INC000150,FL0000595,LH8379,D-AINB,2022-03-19,FRA-AMS,Short-haul,20,Airport congestion,Minor,No,165,No,No,No,3245.45,Passenger Services,32
INC000151,FL0000600,LH1713,D-ABYC,2022-03-19,FRA-JFK,Long-haul,10,Runway maintenance,Minor,No,340,No,No,No,1007.9,Ground Handling,31
INC000152,FL0000601,LH534,D-AIHB,2022-03-19,YYZ-FRA,Long-haul,30,Medical emergency,Moderate,No,272,No,No,No,5570.69,Flight Crew,65
INC000153,FL0000604,LH5648,D-AIDB,2022-03-20,FRA-LHR,Short-haul,10,Technical issue,Minor,No,152,No,No,No,561.5,ATC,22
INC000154,FL0000606,LH4604,D-AIKA,2022-03-20,ORD-FRA,Long-haul,10,Air traffic control,Minor,No,177,No,No,No,1590.47,Flight Crew,47
INC000155,FL0000607,LH7015,D-AIKB,2022-03-20,FRA-SIN,Long-haul,10,Fuel issue,Minor,No,179,No,No,No,833.29,Operations Center,37
INC000156,FL0000614,LH4141,D-AIDB,2022-03-21,FRA-ARN,Medium-haul,15,Baggage loading,Minor,No,143,No,No,No,948.6 EUR,Flight Crew,54
INC000157,FL0000615,LH756,D-AICB,21/03/2022,FRA-MUC,Short-haul,10,Weather conditions,Minor,No,145,No,No,No,1878.31,Operations Center,54
INC000158,FL0000616,LH3681,D-ABYC,2022-03-21,JFK-FRA,Long-haul,15,Weather conditions,Minor,No,313,No,No,No,2964.16,Ground Handling,42
INC000159,FL0000623,LH6616,D-ABYC,2022-03-22,FRA-DEL,Long-haul,30,Baggage loading,Moderate,No,302,No,No,No,5509.84,Ground Handling,67
INC000160,FL0000625,LH1186,D-AICC,2022-03-23,CDG-FRA,Short-haul,15,Airport congestion,Minor,No,130,No,No,No,1418.45,Flight Crew,65
INC000161,FL0000626,LH9090,D-AICB,2022-03-23,FRA-FCO,Short-haul,5,Technical issue,Minor,No,153,No,No,No,670.64,Flight Crew,48
INC000162,FL0000628,LH4290,D-AIEA,2022-03-23,ZRH-FRA,Short-haul,5,Runway maintenance,Minor,No,171,No,No,No,741.06,Passenger Services,36
INC000163,FL0000630,LH6233,D-AIDB,2022-03-23,FRA-IST,Medium-haul,10,Security check,Minor,No,147,No,No,No,1737.07,Operations Center,26
INC000164,FL0000631,LH1522,D-AICB,2022-03-23,ATH-FRA,Medium-haul,5,Fuel issue,Minor,No,150,No,No,No,441.43,Ground Handling,29
INC000165,FL0000642,LH971,D-AIBA,2022-03-24,VIE-FRA,Short-haul,20,Passenger boarding,Minor,No,130,No,No,No,3520.59,ATC,68
INC000166,FL0000646,LH2331,D-AIDA,2022-03-24,MUC-FRA,Short-haul,10,Technical issue,Minor,No,136,No,No,No,1457.43,ATC,37
INC000167,FL0000648,LH8750,D-AICA,2022-03-25,FRA-LHR,Short-haul,20,Technical issue,Minor,No,129,No,No,No,2965.68,Flight Crew,32
INC000168,FL0000653,LH6639,D-AINA,2022-03-25,MUC-FRA,Short-haul,30,Security check,Moderate,No,130,No,No,No,2907.07,Passenger Services,80
INC000169,FL0000654,LH7648,D-ABYB,2022-03-25,FRA-JFK,Long-haul,60,Passenger boarding,Major,No,270,No,No,No,10799.48,Flight Crew,112
INC000170,FL0000658,LH9188,D-AICC,2022-03-26,LHR-FRA,Short-haul,30,Baggage loading,Moderate,No,128,No,No,No,4829.58,ATC,44
INC000171,FL0000666,LH6646,D-ABYD,2022-03-26,BKK-FRA,Long-haul,15,Security check,Minor,No,281,No,No,No,1643.06,ATC,56
INC000172,FL0000669,LH1592,D-AINB,2022-03-27,LHR-FRA,Short-haul,15,Connecting passengers,Minor,No,164,No,No,No,1465.19,Passenger Services,40
