survey_id,passenger_id,flight_id,survey_date,travel_class,nationality,frequent_flyer_status,trip_purpose,overall_satisfaction,check_in_rating,security_rating,lounge_rating,boarding_rating,seat_comfort_rating,cabin_crew_rating,food_rating,entertainment_rating,wifi_rating,would_recommend,nps_score,comments
SUR000107,PAX00028500,FL0006276,2023-03-16,Economy,Singapore,Frequent Traveller,Leisure,9,10,8,,7,8,7,2,10,5,Yes,6.0,
SUR000108,PAX00006072,FL0001236,2021-12-29,Economy,Netherlands,None,Other,5,3,6,,4,3,4,2,10,3,Maybe,9.0,Food quality has improved
SUR000109,PAX00031271,FL0004268,2023-01-01,Economy,Denmark,None,Leisure,2,4,1,,3,1,1,3,7,3,No,1.0,Food quality has improved
SUR000110,PAX00019115,FL0006613,2023-06-17,Business,Netherlands,None,Leisure,3,5,2,6.0,5,5,1,2,5,4,No,3.0,Smooth connection at Frankfurt hub
SUR000111,PAX00006365,FL0000780,2022-01-03,Economy,Switzerland,HON Circle,Business,7/10,9,5,,5,6,7,10,8,7,Yes,5.0,
SUR000112,PAX00003161,FL0008103,2024-02-23,Economy,United Kingdom,None,Leisure,10,10,9,,8,9,8,10,9,3,Yes,1.0,Food quality has improved
SUR000113,PAX00023770,FL0003845,2022-08-24,Economy,Turkey,Frequent Traveller,Other,6,4,6,,5,3,7,6,9,7,Maybe,1.0,Food quality has improved
SUR000114,PAX00018090,FL0010206,2024-05-04,Economy,Greece,None,Leisure,6,4,8,,5,8,7,4,2,8,Maybe,6.0,
SUR000115,PAX00015438,FL0011350,2024-07-27,Economy,Greece,None,Other,2,3,4,,4,1,1,5,5,9,No,7.0,Excellent Lufthansa service as always
SUR000116,PAX00004701,FL0009197,2024-03-10,Business,South Africa,None,Visiting Family,9,9,10,3.0,9,6,7,10,5,2,Yes,7.0,Wifi was too slow for work
SUR000117,PAX00000996,FL0000789,2022-02-06,Premium Economy,Greece,Frequent Traveller,Business,9,7,9,,9,6,10,3,3,9,Yes,1.0,Baggage took too long at arrival
SUR000118,PAX00024954,FL0001888,2022-06-22,Economy,Portugal,None,Visiting Family,10,10,8,,8,10,8,6,5,4,Yes,4.0,Cabin crew was very professional
SUR000119,PAX00031724,FL0011754,2024-11-25,Business,France,Senator,Visiting Family,4,4,5,8.0,2,2,6,8,6,2,No,0.0,Food quality has improved
SUR000120,PAX00020227,FL0011840,2024-11-30,Economy,United States,Senator,Other,2,3,4,,2,2,4,5,4,7,No,9.0,Baggage took too long at arrival
SUR000121,PAX00025640,FL0007572,2023-12-18,Economy,Canada,None,Visiting Family,7,6,9,,9,9,8,8,7,5,Yes,2.0,Clean and comfortable cabin
SUR000122,PAX00043609,FL0003482,2022-07-20,Premium Economy,Italy,Frequent Traveller,Other,2,1,3,,3,3,2,6,4,6,No,0.0,Clean and comfortable cabin
SUR000123,PAX00024371,FL0002614,2022-08-15,Business,Sweden,None,Visiting Family,3,3,4,8.0,2,4,5,2,5,4,No,8.0,Wifi was too slow for work
SUR000124,PAX00017406,FL0007928,2024-01-08,Economy,Thailand,HON Circle,Leisure,4,6,2,,6,3,4,6,6,4,No,8.0,Long queues at security in Frankfurt
SUR000125,PAX00038415,FL0005817,2023-06-02,Economy,United States,Frequent Traveller,Leisure,1,1,3,,1,3,3,9,8,4,No,2.0,Baggage took too long at arrival
SUR000126,PAX00021857,FL0010640,2024-04-24,Business,United States,HON Circle,Visiting Family,8,6,6,3.0,8,10,8,10,9,5,Yes,7.0,Baggage took too long at arrival
SUR000127,PAX00020825,FL0001473,2022-02-11,Premium Economy,Turkey,None,Visiting Family,8,10,6,,8,9,10,7,10,2,Yes,8.0,Wifi was too slow for work
SUR000128,PAX00015832,FL0010578,2024-06-03,Economy,Spain,None,Business,3,2,3,,4,5,3,6,1,5,No,1.0,Excellent Lufthansa service as always
SUR000129,PAX00039489,FL0007223,2023-09-08,Economy,India,HON Circle,Business,6,6,7,,4,3,7,10,10,4,Maybe,0.0,
SUR000130,PAX00033701,FL0008803,09/01/2024,Economy,Brazil,None,Business,10,10,8,,10,10,9,2,10,2,Yes,0.0,Baggage took too long at arrival
SUR000131,PAX00037587,FL0004697,2023-03-14,Business,Belgium,None,Business,5,7,3,4.0,5,4,4,9,8,5,Maybe,7.0,Wifi was too slow for work
SUR000132,PAX00006652,FL0000608,2022-03-12,Business,Spain,None,Visiting Family,1,3,1,9.0,3,1,1,3,4,9,No,9.0,Food quality has improved
SUR000133,PAX00004076,FL0010506,2024-05-06,Economy,United Kingdom,HON Circle,Visiting Family,10,8,9,,10,8,10,7,1,6,Yes,6.0,Smooth connection at Frankfurt hub
SUR000134,PAX00042433,FL0011145,2024-07-19,Economy,Canada,None,Other,10,9,10,,9,7,8,10,1,1,Yes,6.0,Wifi was too slow for work
SUR000135,PAX00027419,FL0004626,2023-03-21,Premium Economy,Switzerland,None,Visiting Family,3,1,2,,2,4,5,4,1,10,No,1.0,Smooth connection at Frankfurt hub
SUR000136,PAX00028230,FL0002636,2022-07-26,Economy,Netherlands,None,Other,5/10,4,4,,4,5,4,1,7,10,Maybe,9.0,Excellent Lufthansa service as always
SUR000137,PAX00007026,FL0008674,2023-12-08,Economy,United States,None,Other,4,4,2,,3,2,4,3,2,7,No,1.0,Clean and comfortable cabin
SUR000138,PAX00031716,FL0007988,2023-11-19,Economy,Austria,Frequent Traveller,Visiting Family,6,8,8,,5,6,7,6,2,1,Maybe,0.0,Cabin crew was very professional
SUR000139,PAX00024175,FL0007311,2023-11-23,Economy,Spain,Frequent Traveller,Other,1,1,2,,1,2,2,2,1,3,No,7.0,Business class seat was outstanding
SUR000140,PAX00031354,FL0007051,2023-07-30,Economy,Turkey,None,Leisure,8,10,7,,6,9,8,4,7,9,Yes,,Wifi was too slow for work
SUR000141,PAX00018396,FL0004521,2023-02-23,Economy,Germany,Frequent Traveller,Business,5,4,3,,5,3,4,3,2,3,Maybe,8.0,
SUR000142,PAX00012816,FL0006742,2023-05-07,Economy,South Africa,None,Visiting Family,5,6,7,,6,6,4,4,6,7,Maybe,0.0,Flight was delayed but communication was good
SUR000143,PAX00005267,FL0007649,2023-09-06,Premium Economy,United States,Senator,Leisure,4,2,2,,2,3,3,5,1,3,No,8.0,Long queues at security in Frankfurt
SUR000144,PAX00021141,FL0011442,2024-10-05,Economy,Brazil,Frequent Traveller,Leisure,9,7,9,,9,9,7,6,1,4,Yes,7.0,
SUR000145,PAX00016172,FL0001478,2022-05-04,Premium Economy,Singapore,None,Business,4,2,2,,3,1,4,2,3,3,No,9.0,Baggage took too long at arrival
SUR000146,PAX00021817,FL0005516,2023-03-25,Economy,Switzerland,None,Other,6,5,5,,4,7,7,7,4,1,Maybe,4.0,Wifi was too slow for work
SUR000147,PAX00039792,FL0011311,2024-06-06,Economy,Spain,Senator,Leisure,6,8,6,,8,5,7,7,7,4,Maybe,0.0,
SUR000148,PAX00014017,FL0004924,2023-02-11,Business,Germany,None,Business,4,5,2,8.0,2,1,2,5,9,1,No,1.0,Wifi was too slow for work
SUR000149,PAX00017485,FL0001421,2022-01-04,Economy,Germany,None,Leisure,5,4,6,,5,2,5,3,4,4,Maybe,6.0,Business class seat was outstanding
SUR000150,PAX00032177,FL0009694,2024-02-19,Economy,Japan,Senator,Visiting Family,8,10,9,,10,5,10,6,2,2,Yes,10.0,Food quality has improved
SUR000151,PAX00005840,FL0004304,2022-12-24,Business,Germany,HON Circle,Visiting Family,9,8,8,7.0,10,9,9,4,4,3,Yes,10.0,
SUR000152,PAX00006299,FL0010842,2024-07-02,Economy,Singapore,None,Visiting Family,5,3,7,,5,4,4,2,10,8,Maybe,0.0,Food quality has improved
SUR000153,PAX00029941,FL0010898,2024-06-18,Economy,South Africa,None,Business,2,4,1,,4,3,2,9,5,9,No,2.0,Smooth connection at Frankfurt hub
SUR000154,PAX00016257,FL0001009,2022-04-06,Premium Economy,Spain,None,Business,10,8,10,,8,8,10,6,7,5,Yes,9.0,
SUR000155,PAX00006983,FL0008443,2024-03-05,Economy,South Africa,HON Circle,Other,9,10,10,,10,7,8,5,4,4,Yes,6.0,Smooth connection at Frankfurt hub
SUR000156,PAX00022644,FL0005812,2023-04-19,Economy,India,Senator,Visiting Family,10,8,9,,8,7,8,6,5,5,Yes,,Wifi was too slow for work
SUR000157,PAX00001666,FL0010602,13/06/2024,Economy,Italy,None,Business,2,1,1,,4,2,1,4,5,8,No,1.0,Baggage took too long at arrival
SUR000158,PAX00012060,FL0001733,2022-04-13,Economy,UAE,Senator,Other,6,5,4,,6,3,8,1,10,10,Maybe,10.0,Food quality has improved
SUR000159,PAX00025519,FL0007024,2023-06-09,Economy,Poland,None,Business,3,5,4,,3,2,1,8,10,1,No,1.0,Long queues at security in Frankfurt
SUR000160,PAX00006976,FL0002781,2022-07-17,Economy,India,None,Visiting Family,4,5,6,,6,4,3,7,1,1,No,4.0,
SUR000161,PAX00020680,FL0000427,2021-11-13,Economy,Italy,Senator,Leisure,2,4,3,,3,2,3,1,10,7,No,3.0,Flight was delayed but communication was good
SUR000162,PAX00000904,FL0009040,2023-12-13,Economy,United States,HON Circle,Leisure,10,10,9,,9,7,10,5,5,10,Yes,0.0,Business class seat was outstanding
SUR000163,PAX00020395,FL0000525,2022-03-14,Business,UAE,None,Business,5,7,7,4.0,7,4,3,3,2,1,Maybe,3.0,Long queues at security in Frankfurt
SUR000164,PAX00001213,FL0008433,2024-03-03,Business,Italy,HON Circle,Other,10,8,9,9.0,9,7,9,6,9,8,Yes,10.0,Baggage took too long at arrival
SUR000165,PAX00011068,FL0007395,2023-06-30,Economy,China,None,Business,7,5,7,,5,4,6,3,9,5,Yes,1.0,Wifi was too slow for work
SUR000166,PAX00039601,FL0007048,2023-10-03,Business,Spain,Senator,Business,8,8,6,6.0,10,7,9,4,1,9,Yes,7.0,Long queues at security in Frankfurt
SUR000167,PAX00043573,FL0011347,2024-10-20,Economy,Netherlands,HON Circle,Leisure,8/10,6,10,,8,9,6,7,2,1,Yes,8.0,Excellent Lufthansa service as always
SUR000168,PAX00027734,FL0009683,25/05/2024,Premium Economy,Singapore,Senator,Leisure,10,10,9,,9,10,10,6,1,2,Yes,8.0,Clean and comfortable cabin
SUR000169,PAX00026833,FL0005489,2023-01-27,Business,United States,None,Other,9,9,10,7.0,9,7,9,8,5,5,Yes,0.0,Clean and comfortable cabin
SUR000170,PAX00024897,FL0009946,2024-07-14,Premium Economy,UAE,None,Other,10,9,10,,10,8,8,3,3,9,Yes,6.0,Clean and comfortable cabin
SUR000171,PAX00040175,FL0002032,2022-07-06,Economy,Spain,None,Business,3,2,5,,4,4,3,1,8,9,No,3.0,Food quality has improved
